Products Style Number,Products Normalized Brand,Products Name,Transactions Net Units,Transactions Base Price Average
PTS20C,Richardson,Keller Elite Custom Flex Fit Cap,326,$22.26
W98117,TRIMARK,W98117 - Ladies Knit Jacket,208,$42.48
4147/2147,Badger,Jersey #3,207,$23.50
1510/1511,Augusta,Jersey #1,197,$26.00
370143,Mizuno,Mizuno Navy Performance Sock G2,140,$8.00
ATC1000L,ATC,ATC1000L - Ladies Cotton Tee,137,$11.70
HSC Maroon Socks,Top Tier Gear,HSC Maroon Socks,131,$5.00
4144,Badger,Jersey #2,123,$23.50
"ST350LS, YST350LS",Sport-Tek,6.Sport-Tek ® Adult/Youth Long Sleeve PosiCharge ® Competitor™ Tee,119,$20.00
26,Adams,Adams Navy Elastic Baseball Belt,109,$4.00
350387/350388,Mizuno,Mizuno White/Navy Premier Pro Piped Pant,104,$38.00
350387/350388,Mizuno,Mizuno Grey/Navy Premier Pro Piped Pant,103,$38.00
G540L,Gildan,G540L - Ladies 100% Cotton Long Sleeve T-Shirt,100,$15.61
4144/2144,Badger,Jersey #2,95,$23.50
TT11W,Team 365,TT11W - Ladies Performance T-Shirt,90,$11.73
TT90W,Team 365,TT90W - Ladies Microfleece Jacket,85,$35.08
507815,Nike,Nike Park IV Sock,77,$5.50
TTG Grey Jersey,Top Tier Gear,HSC Grey Jersey,76,$35.00
1300123,Under Armour,Under Armour Adult Hustle Fleece Hood,71,$35.10
5000,Gildan,Gildan Adult Heavy Cotton 100% Cotton T-Shirt,70,$10.15
350387/350388,Mizuno,Mizuno Premier Pro Piped Pant,66,$38.00
695HBM1,Russell Athletic,Russell Athletic Adult Dri-Power Fleece Pullover Hood,61,$25.66
18500,Gildan,Gildan Heavy Blend Hooded Sweatshirt,60,$20.01
HSC Black Socks,Top Tier Gear,HSC Black Socks,59,$5.00
1305775,Under Armour,Under Armour Men's Short Sleeve Locker Tee 2.0,57,$21.73
4120,Badger,Badger Adult B-Core Tee,54,$12.62
HSC Grey Shorts,Top Tier Gear,HSC Grey Shorts,50,$25.00
HSC Black Shorts,Top Tier Gear,HSC Black Shorts,49,$25.00
HSC Maroon Short,Top Tier Gear,HSC Maroon Shorts,49,$25.00
DP181W,Devon & Jones,DP181W - Ladies' Perfect Fit™ Ribbon Cardigan,48,$35.15
TT11LW,Team 365,TT11LW - Ladies Performance Long Sleeve V-Neck T-Shirt,47,$15.61
8000,Gildan,Gildan Adult DryBlend 50 Cotton/50 Poly Short Sleeve T-Shirt,47,$9.93
18117,TRIMARK,18117 - Mens Knit Jacket,45,$41.09
st350,Sport-Tek,HSC Sportek Pink Jersey,45,$15.00
4920,Badger,Badger Adult Charcoal Extreme Short Sleeve Tee,43,$13.50
SSBASE,Rawlings,Crew Neck Short Sleeve Shirt,42,$20.25
G540,Gildan,G540 - Mens 100% Cotton Long Sleeve T-Shirt,42,$15.62
ST700LS/YST700LS,Sport-Tek,Sport-Tek Adult/Youth Heather Grey Long Sleeve Ultimate Performance Crew,42,$19.99
"2946 -C2P(PURPLE), [FF]",adidas,Adidas Men's Climalite Long Sleeve Tee,42,$25.00
HSC Maroon Stripe Jersey,Top Tier Gear,HSC Maroon Stripe Jersey v2,41,$35.00
ATC1000,ATC,ATC1000 - Mens Cotton Tee,39,$11.72
1305845,Under Armour,Under Armour Youth Short Sleeve Locker Tee,39,$19.97
MSST,Twin City,Twin City Sanitary Tube,36,$4.25
1300123,Under Armour,Under Armour Hustle Fleece Hood,35,$35.53
8000,Gildan,Gildan Adult DryBlend 50 Cotton/50 Poly Short Sleeve T-Shirt - 8000,34,$9.00
F244,Sport-Tek,Sport-Tek Adult White SportTek SportWick Fleece Hooded Pullover,34,$29.99
1268475,Under Armour,Under Armour Men's Long Sleeve Locker Tee,34,$26.88
"PMS81,10",Twin City,Twin City Adult Premier Socks,34,$8.00
HSC Black-Maroon Stripe Jersey,Top Tier Gear,HSC Black-Maroon Stripe Jersey v7,34,$35.00
4119,Badger,Badger Adult B-Core Pocketed 10 Inch Short,32,$17.41
223835,Holloway,Holloway Comeback Beanie,32,$16.29
628T,adidas,adidas Women's Adida Long Sleeve Go To Performance Tee,32,$25.00
4147,Badger,Jersey #3,31,$23.50
8000/8000B,Gildan,Gildan - DryBlend 50 Cotton/50 Poly T-Shirt,31,$10.00
"ST350, LST350, YST350, Black",Sport-Tek,Black Performance T,31,$25.00
1270,Pennant Sportswear,Pennant Sportswear Atlas Warmup,31,$32.00
HSC Grey Socks,Top Tier Gear,HSC Grey Socks,31,$5.00
7246,Pennant Sportswear,Pennant Sportswear Vintage Grey Hoodie,30,$37.64
123R,adidas,SSFF adidas Clima Tech Tee,30,$15.00
727980,Nike,Nike Adult Team Legend Long-Sleeve Crew,29,$25.93
473568,Nike,Nike 473568 Choice of Football Practice Jersey,29,$29.45
EBA92,adidas,adidas M10 Short,28,$23.00
418635,Nike,Nike 418635 Men's Team Fly Short,28,$27.29
384407,Nike,Nike 384407 Legend Shortsleeve Performance Top,28,$15.07
509142,Nike,Nike 509142 Hustle Reversible Tank Top,28,$26.07
8612,J American,J America Men's Colorblock Cosmic Pullover Hood,28,$34.00
8000,Gildan,Gildan 50/50 Cotton Tee **YOUTH AVAILABLE**,28,$7.00
"701,",Pennant Sportswear,Hoody,27,$27.25
BA4890-001,Nike,Nike Team Backpack,27,$46.00
1252092,Under Armour,Under Armour Ripshot Pinney,27,$21.50
PC90H,Port & Company,Port & Company - Essential Fleece Pullover Hooded Sweatshirt,27,$25.00
582/583,Augusta,Optional Jersey,27,$46.00
DM136L,District Made,District Made Ladies Perfect Tri 3/4-Sleeve Raglan,26,$13.96
2000,Gildan,Gildan ® - Ultra Cotton ® 100% Cotton T-Shirt,26,$8.00
CP84,Port & Company,Port & Company® - Pigment-Dyed Cap,26,$13.00
DM130,District Made,District Made Mens Perfect Tri Crew Tee,26,$11.50
L468V,Sport-Tek,WOMENS Race Day Shirt,26,$23.00
222542,Holloway,Holloway Adult Electrify 1/2 Zip Pullover,26,$31.68
598537,Nike,Nike 598537 Team Fleece Hoody,25,$33.11
1268471,Under Armour,UA Men's Short Sleeve Locker Tee **YOUTH AVAILABLE**,25,$19.80
5211,Pennant Sportswear,Pennant Sportswear Women's Space-Dye Striped Crew,25,$24.80
FL063,adidas,SSFF adidas Short Sleeve Logo Tee,24,$10.00
588470,Nike,Nike Academy 14 Team Knit Jacket,24,$52.00
1276522,Under Armour,Under Armour Women's Stadium Hoody,24,$32.63
ST361LS,Sport-Tek,Sport-Tek ® Long Sleeve Heather Colorblock Contender ™ Tee,24,$14.00
ST350,Sport-Tek,Sport-Tek Adult/Youth PosiCharge ® Competitor™ Tee,24,$10.00
8000,Gildan,Gildan 50/50 Dryblend Shortsleeve Tee,24,$7.00
64LTTX0,Russell Athletic,Russell Women's Essential Long Sleeve 60/40 Performance Tee,24,$10.80
1270785,Under Armour,Under Armour Women's Futbolista Shell,23,$72.00
NEA131,New Era,SSFF New Era ® Tri-Blend Performance Pullover Hoodie Tee,23,$26.00
PC78H,Port & Company,Port & Company ® - Core Fleece Pullover Hooded Sweatshirt,23,$28.00
1310133,Under Armour,Under Armour Men's Pocketed Raid Short,23,$32.19
598436,Nike,Nike 598436 Team Club Fleece Pant,23,$32.91
HSC Boys Practice Jersey,Top Tier Gear,HSC Boys Practice Jersey,23,$25.00
2000,Gildan,Gildan Adult Ultra Cotton ® 100% Cotton T-Shirt,23,$9.18
1305786,Under Armour,Under Armour Women's Squad Woven 1/2 Zip,23,$46.25
"ST350, LST350, YST350, White",Sport-Tek,White Performance T-Shirt,23,$25.00
8000,Gildan,Gildan - DryBlend 50 Cotton/50 Poly T-Shirt,23,$12.39
1268471,Under Armour,Under Armour Men's Short Sleeve Locker Tee,22,$23.25
1252092,Under Armour,27,21.5,
