Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
ZZZXK,Athletics,Holloway,adidas,Augusta,2698,6
ZZZQK,School,Sport-Tek,Gildan,YUPOONG,1418,6
ZZZQ2,Football,Under Armour,Port & Company,Wilson,1579,4
ZZZHT,Spirit Wear,Badger,Gildan,Sport-Tek,1965,6
ZZZCR,Wrestling,Gildan,Under Armour,New Era,2130,4
ZZZBU,Other,Gildan,Augusta,Pacific Headwear,905,3
ZZYCJ,Baseball,Gildan,Under Armour,Rawlings,2439,4
ZZYCC,Baseball,Sport-Tek,Under Armour,District Made,1948,7
ZZXG3,Baseball,New Balance,Sport-Tek,ChamPro,2795,9
ZZXDZ,Baseball,adidas,Port & Company,Port Authority,3367,6
ZZXC6,Apparel,Gildan,Holloway,Pennant Sportswear,1528,9
ZZWXG,Baseball,Sport-Tek,Holloway,Under Armour,4450,4
ZZWHP,Fundraiser,Gildan,Team 365,UltraClub,929,9
ZZWF4,Soccer,Pennant Sportswear,Holloway,ChamPro,2468,5
ZZWDW,Spirit Wear,Gildan,Tie Dye,UltraClub,1084,3
ZZWDP,Apparel,Port Authority,Under Armour,Augusta,3373,6
ZZWBK,Lacrosse,adidas,Augusta,The Game,3326,3
ZZWAK,Other,Badger,Pacific Headwear,Mizuno,3100,3
ZZW65,Other,Port & Company,District Made,Sport-Tek,2285,4
ZZVU9,Track & Field,Gildan,Augusta,Nike,2921,6
ZZVPF,Soccer,Gildan,adidas,Holloway,2298,6
ZZVH5,Spirit Wear,Under Armour,Gildan,Pacific Headwear,2866,3
ZZVEB,Volleyball,Augusta,Nike,Gildan,1764,7
ZZVCE,Track & Field,adidas,Halo,Russell Athletic,1856,4
ZZV8Y,Soccer,adidas,Port & Company,Sport-Tek,2333,4
ZZV7W,Lacrosse,Gildan,Sport-Tek,UltraClub,2519,10
ZZUY9,Volleyball,Russell Athletic,Port Authority,Port & Company,1680,4
ZZUGW,Basketball,Gildan,Port & Company,Sport-Tek,2142,3
ZZU5V,Track & Field,Under Armour,adidas,Gildan,3273,5
ZZSSQ,Spirit Wear,Under Armour,Sport-Tek,Port & Company,3002,6
ZZSS9,Other,Gildan,Port & Company,Sport-Tek,1176,3
ZZS2V,Water Polo,Sport-Tek,Holloway,Augusta,3725,7
ZZRTU,Other,Under Armour,Gildan,Stormtech,2558,5
ZZRCB,Soccer,Gildan,Sport-Tek,Pennant Sportswear,2964,8
ZZR2T,Volleyball,Under Armour,Gildan,The Game,3373,3
ZZR2S,Hockey,Bauer,Pennant Sportswear,Under Armour,3857,4
ZZR28,Hockey,Bauer,Under Armour,Sport-Tek,4107,5
ZZQXB,School,Port & Company,Bella + Canvas,Sport-Tek,1811,4
ZZQAY,Basketball,Port & Company,Sport-Tek,Under Armour,2518,4
ZZQ88,Baseball,Rawlings,Rawlings,Holloway,4650,4
ZZQ7V,Hockey,Port Authority,Under Armour,Gildan,2926,9
ZZPZN,Baseball,Mizuno,ChamPro,Twin City,2759,5
ZZPGP,Football,Under Armour,Holloway,Alleson,3179,3
ZZPCA,Volleyball,Sport-Tek,Pennant Sportswear,High Five,1941,4
ZZPAQ,Baseball,adidas,ChamPro,Rawlings,2927,7
ZZP27,Football,Under Armour,Sport-Tek,The Game,2879,3
ZZNXB,Baseball,Badger,Gildan,adidas,2159,6
ZZNV6,Baseball,Badger,Gildan,Pacific Headwear,2073,7
ZZNU4,Baseball,Mizuno,S&S,AlphaBroder,2092,9
ZZNE7,Baseball,Badger,Badger,Alleson,3246,6
