Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
XWEU3,Other,No,July,39,No,24,17,9,53,115
ZDKA4,Apparel,No,July,8,No,23,22,5,49,183
Z2Y3D,Lacrosse,No,November,8,No,2,2,1,21,24
Z58WV,Basketball,No,September,12,No,2,2,1,18,58
ZZCZQ,Apparel,No,September,28,No,11,5,5,7,16
Z6GER,Apparel,Yes,January,35,No,47,17,2,41,151
YYZRC,Football,No,May,24,No,17,5,1,2,0
XMCYX,Dance,No,October,19,No,3,2,1,3,3
Z56AR,Gymnastics,No,November,27,No,18,14,8,38,86
YU4D7,Lacrosse,Yes,December,25,Yes,11,8,1,20,70
XPZJU,Basketball,No,December,7,No,3,3,1,25,75
YKQZ6,Football,No,September,7,No,32,21,3,16,44
ZTA6G,Football,No,August,8,Yes,16,16,8,68,354
Y6D57,Spirit Wear,No,October,35,No,17,12,2,72,157
XFKKZ,Gymnastics,No,January,10,No,15,5,4,2,3
ZJ39G,Other,No,November,21,No,12,6,5,27,35
YFV89,Soccer,No,February,15,No,7,6,3,15,59
ZSQ8B,Basketball,No,November,13,Yes,10,5,4,7,13
YMM9C,Baseball,No,November,13,No,12,12,6,22,121
XTEXF,Baseball,No,April,14,No,10,9,3,27,74
XE8SA,School,No,September,6,No,2,2,1,17,21
Y8CSC,Other,No,January,27,Yes,14,6,3,6,13
YX796,Volleyball,No,August,14,No,8,8,3,48,134
YGUX3,Basketball,No,November,10,No,9,6,3,4,0
Z4QMQ,Basketball,No,November,13,No,30,19,12,24,56
YF5UB,Volleyball,No,July,42,No,12,9,4,33,93
ZUZ89,Baseball,No,April,14,No,34,7,6,5,13
ZN2B2,Corporate,No,June,9,No,19,2,2,2,7
XFKQQ,School,No,September,9,No,1,1,1,103,108
Z523A,Baseball,No,May,21,No,21,7,5,2,8
YGA5Q,Baseball,No,November,10,No,37,19,7,10,36
XY4PF,Other,No,August,56,No,9,9,3,69,105
XGZW6,Apparel,No,August,12,No,37,21,1,23,82
ZJQ4P,Apparel,No,April,21,No,7,4,4,21,40
ZR4UT,Fundraiser,No,January,10,No,11,5,2,25,42
Y8H43,Other,No,February,7,Yes,9,7,3,36,74
XF3M9,Hockey,No,April,41,No,25,17,1,25,39
YZGBH,Basketball,No,October,41,No,23,18,8,29,74
ZRGFR,School,No,April,29,No,16,2,2,1,2
XRFFA,Apparel,No,September,25,No,6,1,1,15,16
XMMCH,School,No,August,20,No,2,2,1,89,92
YQR4C,Spirit Wear,No,November,14,No,11,8,4,41,92
Z9MZB,Camp,No,May,27,No,6,5,2,12,12
ZF545,Soccer,No,September,13,Yes,5,5,3,44,121
XV4XD,Spirit Wear,No,September,33,Yes,20,19,4,62,146
Y5ET7,Tennis,No,February,26,No,10,10,3,19,89
Z5FRP,Baseball,Yes,February,22,No,31,9,7,5,14
YCW9Y,Baseball,No,February,11,No,3,1,1,4,4
Z4WNQ,Dance,Yes,February,11,No,2,1,1,36,41
YQS5X,Baseball,No,February,18,No,31,20,8,24,192
YM8QD,Lacrosse,No,October,11,No,22,16,4,36,129
XM8EW,Cheer,No,October,32,No,35,11,1,29,68
ZY8Z7,Spirit Wear,No,July,45,No,26,25,7,175,350
Y44V6,Football,No,August,15,No,51,22,4,18,73
YWG8F,Soccer,No,August,10,No,12,6,1,7,24
ZF2A6,Other,No,April,21,No,8,7,6,7,17
Y293Y,Other,No,July,7,No,25,9,5,3,28
Y3HUZ,Apparel,No,October,12,Yes,20,15,8,22,42
YH3QN,School,No,August,97,No,16,14,3,68,112
XYVC8,Football,No,September,14,No,22,7,3,8,23
YKS4M,Spirit Wear,No,September,32,No,10,8,3,53,83
ZXPV4,Apparel,No,October,14,No,48,16,6,16,34
YQ7CZ,Athletics,No,October,20,Yes,21,20,5,92,204
YW6H6,Other,No,August,7,No,46,4,3,2,5
YPCVT,Softball,No,May,2,No,3,3,2,10,17
YKVWR,Baseball,No,January,15,No,7,7,1,26,54
YAUMV,Baseball,No,May,6,No,12,11,7,19,76
Z4W4B,Spirit Wear,No,December,7,No,5,4,3,3,6
ZNZAM,Soccer,No,July,21,No,15,14,8,47,195
XZXJM,Baseball,No,June,18,No,5,4,2,2,0
ZQJ9B,Hockey,No,October,12,No,21,13,3,27,96
Z5BJR,Other,No,September,63,No,50,5,4,2,5
XEJ2J,Other,No,April,14,No,2,2,1,10,15
YMN6U,Apparel,No,May,52,No,6,2,2,1,4
ZQDPC,Softball,No,May,10,No,12,12,5,22,97
XT7F7,Other,No,November,7,No,34,5,3,5,9
ZCJK8,Softball,No,February,7,No,11,9,3,10,50
Z7K6Z,Athletics,No,November,8,No,3,1,1,6,6
ZC3NT,Softball,No,December,29,No,131,39,8,41,178
XJQBG,Cross Country,Yes,July,14,No,23,9,2,89,251
YSNMC,Football,Yes,January,19,No,23,9,3,20,55
YXEW2,Soccer,No,September,16,No,4,4,4,16,36
ZPM3Y,Football,No,October,9,No,4,4,1,26,85
ZMUSX,Cheer,No,August,15,No,7,5,1,6,8
XHETM,Cross Country,No,February,7,No,29,29,11,206,523
XJ892,Athletics,No,June,14,No,9,7,4,51,258
XDAR7,Baseball,No,May,10,No,8,6,4,5,11
Z5UVP,Basketball,No,November,11,No,7,7,1,26,65
ZVSKA,Soccer,No,May,21,No,11,9,3,8,14
YDJTY,Apparel,No,May,37,No,25,8,3,9,16
XTZZV,Baseball,No,May,14,No,7,4,4,3,12
ZX5ZY,Softball,No,March,6,No,35,5,3,4,6
YAGA8,Cross Country,Yes,September,5,No,25,17,1,12,78
ZTQBY,Football,No,October,5,No,4,4,1,30,126
ZKGWK,Tennis,No,August,5,No,2,2,2,6,14
Z5TPS,Corporate,No,November,31,No,88,30,4,20,252
ZGM6H,Lacrosse,No,September,14,No,22,13,2,61,205
ZC5QV,Other,No,June,97,No,70,33,8,42,250
Y6CYU,Other,No,October,31,No,14,8,5,11,18
ZMUCQ,Lacrosse,No,May,4,No,1,1,1,5,5
XTJ32,Basketball,No,November,16,No,13,2,2,2,0
Y2HW2,Field Hockey,No,August,19,Yes,21,16,3,18,44
YWPMN,Soccer,Yes,January,17,Yes,32,10,2,12,36
XE2NG,Other,No,September,14,Yes,1,1,1,14,14
ZT3CF,Spirit Wear,No,November,16,No,9,9,4,23,71
XJQAQ,Football,No,August,36,No,16,6,2,71,224
Z8TN3,Softball,No,February,34,No,21,17,3,29,120
ZFCJT,Apparel,No,January,8,No,34,16,9,7,22
Y7QQ5,Greek,No,February,3,No,1,1,1,48,51
YJJST,Softball,No,April,17,No,20,12,3,5,24
Z226R,Basketball,No,September,3,No,21,11,1,15,43
YDV8E,Other,No,September,27,No,58,18,11,16,36
YUG3B,Baseball,No,November,20,Yes,20,14,6,11,28
YR9MM,Dance,No,October,12,No,32,24,4,31,129
YR5UJ,School,No,August,19,No,9,7,3,7,12
YNPKH,Football,No,September,7,No,44,19,4,10,36
XPQN4,Cross Country,No,July,9,No,21,9,1,19,90
YPQ4T,Track & Field,No,January,58,No,14,5,1,15,29
YR8HM,Hockey,No,November,20,No,14,14,8,20,98
YP3W3,Rugby,No,October,19,No,2,2,2,11,10
ZPBWJ,Lacrosse,Yes,January,34,No,28,9,7,10,16
YRUXU,Swimming,No,August,122,No,22,13,3,9,43
XJHAM,Soccer,No,January,48,No,27,10,4,45,80
YMR7X,Lacrosse,Yes,March,8,No,12,8,3,18,93
ZEVBH,Other,No,August,15,No,1,1,1,65,137
YYGB3,Apparel,No,October,33,No,2,2,2,80,97
ZUS29,Basketball,No,May,33,No,12,3,2,2,4
ZWAP6,Staff,No,May,0,No,25,8,7,7,14
ZPDZX,Soccer,No,January,58,No,22,19,9,63,284
XVK9W,Rugby,No,November,34,No,78,12,1,42,207
XKZEH,Spirit Wear,No,November,16,No,22,13,5,10,23
XFGGR,Cross Country,No,July,36,Yes,12,1,1,1,0
Y3FTZ,Volleyball,No,August,11,Yes,14,11,1,34,124
ZANJ3,Football,No,June,84,No,23,22,9,43,131
YNVJB,Baseball,No,July,38,No,19,13,5,9,44
Y24Q5,Other,No,October,10,No,3,1,1,39,40
ZHNDQ,PE,No,September,15,No,11,6,3,18,27
ZTCPC,School,No,October,33,No,9,9,6,49,65
YMMR4,Softball,No,November,18,No,11,4,2,5,9
YTJPX,Spirit Wear,No,August,33,No,8,8,2,47,82
XKDU2,Soccer,No,June,17,No,17,8,1,28,86
XQ77G,Track & Field,No,February,12,No,17,10,3,33,83
YARPY,Fundraiser,No,October,16,No,1,1,1,11,12
ZH6VH,Band Music & Choir,No,June,5,No,2,2,1,19,36
XJTFZ,Track & Field,No,January,7,No,16,2,1,1,2
Z535H,Basketball,No,October,18,Yes,15,12,1,26,72
Y43KC,Volleyball,No,April,23,No,16,16,3,81,340
YD3HH,Spirit Wear,No,November,17,No,16,11,6,18,31
Z2E8Z,Hockey,Yes,October,44,No,60,27,5,20,58
ZN9BJ,Basketball,No,November,14,No,8,7,4,24,56
XQWUK,Soccer,No,August,14,No,11,11,7,17,69
ZBW3H,Baseball,No,November,14,No,15,11,1,11,48
YB3YB,Basketball,No,May,9,No,17,13,6,49,195
Y8F53,Police Fire & Military,No,April,35,No,6,6,1,11,75
Y6H2X,Basketball,No,November,20,No,48,39,10,37,118
ZKWZ5,Staff,No,October,24,No,17,6,3,6,9
ZXQ59,Baseball,No,February,34,No,89,15,8,12,33
XG7PJ,Booster Club,No,September,5,No,2,2,1,30,79
YZ3TG,Softball,No,April,28,No,18,13,6,27,58
YYEAM,Athletics,No,December,10,Yes,1,1,1,44,49
ZU9VF,Wrestling,No,November,1,No,15,4,4,3,13
YSHP4,Lacrosse,No,January,4,Yes,52,32,7,126,214
